query,intent,old_url,current_url,old_clicks,current_clicks,old_impressions,current_impressions,old_position,current_position,position_delta,old_ctr,current_ctr,click_loss,migration_issue,cannibalisation,preferred_target_url,recommended_action,priority
reverse the signs of aging,informational,,,0,0,11,16,61.91,64.81,2.9,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
cosmetic clinic in bhubaneswar,local commercial,,,0,0,6,15,2.17,4.67,2.5,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hydrafacial in bhubaneswar,local informational,,,0,0,9,14,3.56,5.79,2.23,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair botox treatment price in bhubaneswar,local commercial,,,0,0,12,13,4.25,7.85,3.6,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
zap treatment,commercial,,,0,0,9,12,6.11,9.50,3.39,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
face laser treatment,commercial,,,0,0,10,11,5.80,10.27,4.47,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
lip laser treatment near me,local commercial,,,0,0,8,9,4.25,8.22,3.97,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
skin treatment clinic,commercial,,,0,0,5,8,20.80,24.88,4.08,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
gloss clinic,commercial,,,0,0,5,8,35.60,39.25,3.65,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
hair transplant in raipur,commercial,,,0,0,6,7,35.50,38.43,2.93,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
lip colouring treatment,commercial,,,0,0,6,7,42.50,45.00,2.5,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair and skin clinic near me,local commercial,,,0,0,6,6,6.67,8.83,2.16,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
eugenix bhubaneswar,local informational,,,0,0,5,6,7.00,9.00,2,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
wart treatment near me,local commercial,,,0,0,5,6,6.40,10.00,3.6,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
face peeling treatment price,commercial,,,0,0,6,6,10.83,12.83,2,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
loss of confidence due to hair loss,informational,,,0,0,6,6,19.50,24.33,4.83,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
early scarring alopecia,informational,,,0,0,5,5,86.40,90.80,4.4,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
