query,old_page,current_page,old_clicks_28d,current_clicks_28d,old_impressions_28d,current_impressions_28d,old_position_28d,current_position_28d,ctr_change_percentage_points,clicks_7d,impressions_7d,position_7d,probable_cause,target_page,required_action,priority,pre_migration_data,source_window,checked_at
how many sessions of prp are usually needed,,,0,0,23,10,49.17,50.5,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
strands of meaning: hair and the making of the self,,,0,0,0,10,0,92.1,0,,,,NEW_QUERY_DISCOVERY,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best dermatologist for hair in bhubaneswar,,,0,1,1,9,3,2.56,11.11,0,3,2.33,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
grey hair treatment,,,0,0,6,9,4.83,4.11,0,0,2,4.5,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best prp treatment near me,,,0,1,10,9,8.9,5.78,11.11,0,1,1,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair plantation near me,,,0,0,8,9,2.5,2.11,0,0,1,1,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair treatment clinic near me,,,0,0,5,9,4.8,5.67,0,0,1,7,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair hospital near me,,,0,0,11,9,6.45,6.22,0,0,1,10,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
how effective is gfc for hair growth,,,0,0,0,9,0,1,0,,,,NEW_QUERY_DISCOVERY,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair prp treatment,,,0,0,5,9,18,2.22,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
prp treatment cost,,,0,0,5,9,3,2.44,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
dermatologist for hair fall near me,,,0,0,2,9,5,6.56,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
dermatologist for hair loss,,,0,0,12,9,7.42,6.56,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
growth factor concentrate hair treatment,,,0,0,12,9,17.58,16.67,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc hair therapy,,,0,0,10,9,21.1,20.11,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair removal laser in bhubaneswar,,,0,0,0,8,0,7.5,0,0,8,7.5,NEW_QUERY_DISCOVERY,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
female pattern hair loss,,,0,0,2,8,2,66.12,0,0,7,75.14,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/concerns/hair-loss-scalp/male-pattern-hair-loss,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair care clinic near me,,,0,0,4,8,9,8.88,0,0,4,9.75,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair laser treatment,,,0,1,3,8,7,8.12,12.5,0,3,11.67,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair and dental center in bhubaneswar,,,0,0,8,8,32.5,44,0,0,3,46,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair fall doctor in bhubaneswar,,,0,0,22,8,5.82,5.88,0,0,2,6,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair removal by laser,,,0,0,0,8,0,2.38,0,,,,NEW_QUERY_DISCOVERY,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
dermatologist near me for hair,,,0,0,6,8,8.33,7.5,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair skin specialist near me,,,0,0,1,8,10,7.75,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance hair salon,,,0,0,1,8,10,7.75,0,,,,MONITOR,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
scalp micropigmentation,,,0,0,8,8,10.88,9.88,0,,,,MONITOR,/concerns/hair-loss-scalp/dandruff,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance skin hair and laser clinic,,,0,0,3,8,6,12.12,0,,,,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
full body hair removal,,,0,0,6,8,26.83,17.12,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc treatment for hair,,,0,0,76,8,23.88,17.5,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
aft laser hair removal,,,0,0,4,8,36.5,32,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
aft hair removal,,,0,0,6,8,48.5,38.75,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
beauty salon hair removal,,,0,0,0,8,0,82.75,0,,,,NEW_QUERY_DISCOVERY,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair treatment doctor near me,,,0,0,0,7,0,9.14,0,0,7,9.14,NEW_QUERY_DISCOVERY,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
prp therapy,,,0,0,0,7,0,3.71,0,0,4,3.5,NEW_QUERY_DISCOVERY,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair care doctor near me,,,0,0,14,7,8.93,4.57,0,0,2,2.5,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair and skin clinic,,,0,1,4,7,3.75,9.14,14.29,0,2,11,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc treatment near me,,,0,0,6,7,5.17,5.86,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair fix bhubaneswar,,,0,0,15,7,10.53,10.71,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
"radiance skin, hair & cosmetic center",,,0,0,9,7,10.67,13,0,,,,MONITOR,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
scalp micropigmentation near me,,,0,0,31,7,15.87,13.57,0,,,,MONITOR,/concerns/hair-loss-scalp/dandruff,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
how many prp sessions are needed for hair,,,0,0,19,7,22.05,18.14,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
prp treatment for face,,,0,0,2,6,2,1.67,0,0,3,1.33,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair loss treatment,,,0,0,11,6,2.73,3,0,0,2,2,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair consultant near me,,,0,0,5,6,8.4,6.17,0,0,2,7.5,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair fall treatment doctor near me,,,0,0,0,6,0,6.5,0,0,1,1,NEW_QUERY_DISCOVERY,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair replacement near me,,,0,0,4,6,6.5,6,0,0,1,7,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
is gfc treatment effective,,,0,0,16,6,1,1,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc injection for hair growth,,,0,0,3,6,1,7.5,0,,,,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair and skin clinic near me,,,0,0,6,6,6.67,8.83,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc means in hair,,,0,0,0,6,0,9.67,0,,,,NEW_QUERY_DISCOVERY,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
how to buy a wig,,,0,0,7,6,18.14,16.83,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
prp treatment for hair thinning,,,0,0,5,6,21.2,17,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
what is gfc hair treatment,,,0,0,25,6,22.32,19.5,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair treatment in kolkata,,,0,0,34,6,12.44,22.5,0,,,,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc hair,,,0,0,17,6,27.18,23.17,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
loss of confidence due to hair loss,,,0,0,6,6,19.5,24.33,0,,,,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair treatments for hair growth,,,0,0,3,6,91.33,77.67,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
causes of scarring alopecia,,,0,0,7,6,87.43,86.83,0,,,,MONITOR,/alopecia-areata-treatment-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
laser hair removal cost,,,0,0,2,5,1,3.6,0,0,5,3.6,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
full body laser hair removal,,,0,0,6,5,55.67,4.8,0,0,3,5.33,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
prp clinic near me,,,0,0,1,5,6,3.6,0,0,2,3,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair fall,,,0,0,3,5,3,2.6,0,0,2,3.5,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
laser treatment for hair removal,,,0,0,9,5,51.89,16.4,0,0,2,6,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair treatment,,,0,0,4,5,10.25,7.8,0,0,2,8.5,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
for hair which doctor,,,0,0,3,5,8.33,11.6,0,0,2,12.5,POSITION_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
prp price,,,0,0,2,5,3,2.8,0,0,1,2,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair hospital,,,0,0,1,5,9,6.2,0,0,1,7,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
